name,address,city,phone,type
buckhead diner,3073 piedmont road,atlanta,404/262-3336,american
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,american (new)
ciboulette,1529 piedmont ave.,atlanta,404/874-7600,french
ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french (new)
delectables,1 margaret mitchell sq.,atlanta,404/681-2909,american
delectables,1 margaret mitchell sq.,atlanta,404-681-2909,cafeterias
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,404/352-3517,american
georgia grille,2290 peachtree rd.,atlanta,404-352-3517,southwestern
hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,international
hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,404-233-7673,continental
heera of india,595 piedmont ave.  rio shopping mall,atlanta,404/876-4408,asian
heera of india,595 piedmont ave.,atlanta,404-876-4408,indian
indigo coastal grill,1397 n. highland ave.,atlanta,404/876-0676,caribbean
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic
la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,404/231-1368,italian
la grotta,2637 peachtree rd. ne,atlanta,404-231-1368,italian
mary mac's tea room,224 ponce de leon ave.,atlanta,404/876-1800,southern
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul
nikolai's roof,255 courtland st.  at harris st.,atlanta,404/221-6362,continental
nikolai's roof,255 courtland st.,atlanta,404-221-6362,continental
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,american (new)
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,ext 6108 international
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new)
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,international
ritz-carlton dining room (buckhead),3434 peachtree rd. ne,atlanta,404-237-2700,american (new)
restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental
ritz-carlton restaurant,181 peachtree st.,atlanta,404-659-0400,french (classic)
toulouse,b peachtree rd.,atlanta,404/351-9533,french
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new)
veni vidi vici,41 14th st.,atlanta,404/875-8424,italian
veni vidi vici,41 14th st.,atlanta,404-875-8424,italian
alain rondelli,126 clement st.,san francisco,415/387-0408,french
alain rondelli,126 clement st.,san francisco,415-387-0408,french (new)
aqua,252 california st.,san francisco,415/956-9662,seafood
aqua,252 california st.,san francisco,415-956-9662,american (new)
boulevard,1 mission st.,san francisco,415/543-6084,american
boulevard,1 mission st.,san francisco,415-543-6084,american (new)
cafe claude,7 claude la.,san francisco,415/392-3505,french
cafe claude,7 claude ln.,san francisco,415-392-3505,french bistro
campton place,340 stockton st.,san francisco,415/955-5555,american
campton place,340 stockton st.,san francisco,415-955-5555,american (new)
chez michel,804 northpoint,san francisco,415/775-7036,french
chez michel,804 north point st.,san francisco,415-775-7036,californian
fleur de lys,777 sutter st.,san francisco,415/673-7779,french
fleur de lys,777 sutter st.,san francisco,415-673-7779,french (new)
fringale,570 4th st.,san francisco,415/543-0573,french
fringale,570 fourth st.,san francisco,415-543-0573,french bistro
hawthorne lane,22 hawthorne st.,san francisco,415/777-9779,american
hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,californian
khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,asian
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai
la folie,2316 polk st.,san francisco,415/776-5577,french
la folie,2316 polk st.,san francisco,415-776-5577,french (new)
lulu,816 folsom st.,san francisco,415/495-5775,mediterranean
lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,mediterranean
masa's,648 bush st.,san francisco,415/989-7154,french
masa's,648 bush st.,san francisco,415-989-7154,french (new)
mifune japan center  kintetsu building,1737 post st.,san francisco,415/922-0337,asian
mifune,1737 post st.,san francisco,415-922-0337,japanese
plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean
plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new)
postrio,545 post st.,san francisco,415/776-7825,american
postrio,545 post st.,san francisco,415-776-7825,californian
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new)
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian
adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american
beaurivage,26025 pacific coast hwy.,malibu,310/456-5733,french
bistro garden,176 n. canon dr.,los angeles,310/550-3900,californian
border grill,4th st.,los angeles,310/451-1655,mexican
broadway deli,3rd st. promenade,santa monica,310/451-0616,american
ca'brea,346 s. la brea ave.,los angeles,213/938-2863,italian
ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,italian
cafe pinot,700 w. fifth st.,los angeles,213/239-6500,californian
california pizza kitchen,207 s. beverly dr.,los angeles,310/275-1101,californian
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american
cava,3rd st.,los angeles,213/658-8898,mediterranean
cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,caribbean
chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian
clearwater cafe,168 w. colorado blvd.,los angeles,818/356-0959,health food
dining room,9500 wilshire blvd.,los angeles,310/275-5200,californian
dive!,10250 santa monica blvd.,los angeles,310/788-,dive american
drago,2628 wilshire blvd.,santa monica,310/828-1585,italian
drai's,730 n. la cienega blvd.,los angeles,310/358-8585,french
dynasty room,930 hilgard ave.,los angeles,310/208-8765,continental
eclipse,8800 melrose ave.,los angeles,310/724-5959,californian
ed debevic's,134 n. la cienega,los angeles,310/659-1952,american
el cholo,1121 s. western ave.,los angeles,213/734-2773,mexican
gilliland's,2424 main st.,santa monica,310/392-3901,american
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american
hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american
harry's bar & american grill,2020 ave. of the stars,los angeles,310/277-2333,italian
il fornaio cucina italiana,301 n. beverly dr.,los angeles,310/550-8330,italian
jack sprat's grill,10668 w. pico blvd.,los angeles,310/837-6662,health food
jackson's farm,439 n. beverly drive,los angeles,310/273-5578,californian
jimmy's,201 moreno dr.,los angeles,310/552-2394,continental
joss,9255 sunset blvd.,los angeles,310/276-1886,asian
le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian
le dome,8720 sunset blvd.,los angeles,310/659-6919,french
louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian
mon kee seafood restaurant,679 n. spring st.,los angeles,213/628-6717,asian
morton's,8764 melrose ave.,los angeles,310/276-5205,american
nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american
nicola,601 s. figueroa st.,los angeles,213/485-0927,american
ocean avenue,1401 ocean ave.,santa monica,310/394-5669,american
orleans,11705 national blvd.,los angeles,310/479-4187,cajun
pacific dining car,6th st.,los angeles,213/483-6000,american
paty's,10001 riverside dr.,toluca lake,818/761-9126,american
pinot hollywood,1448 n. gower st.,los angeles,213/461-8800,californian
posto,14928 ventura blvd.,sherman oaks,818/784-4400,italian
prego,362 n. camden dr.,los angeles,310/277-7346,italian
rj's the rib joint,252 n. beverly dr.,los angeles,310/274-7427,american
remi,3rd st. promenade,santa monica,310/393-6545,italian
restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian
roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,american
schatzi on main,3110 main st.,los angeles,310/399-4800,continental
sofi,3rd st.,los angeles,213/651-0346,mediterranean
swingers,8020 beverly blvd.,los angeles,213/653-5858,american
tavola calda,7371 melrose ave.,los angeles,213/658-6340,italian
the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian
tommy tang's,7313 melrose ave.,los angeles,213/937-5733,asian
tra di noi,3835 cross creek rd.,los angeles,310/456-0169,italian
trader vic's,9876 wilshire blvd.,los angeles,310/276-6345,asian
vida,1930 north hillhurst ave.,los feliz,213/660-4446,american
west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american
20 mott,20 mott st.  between bowery and pell st.,new york,212/964-0380,asian
9 jones street,9 jones st.,new york,212/989-1220,american
adrienne,700 5th ave. at 55th st.,new york,212/903-3918,french
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,212/473-2602,mediterranean
aja,937 broadway at 22nd st.,new york,212/473-8388,american
alamo,304 e. 48th st.,new york,212/ 759-0590,mexican
alley's end,311 w. 17th st.,new york,212/627-8899,american
ambassador grill,1 united nations plaza at 44th st.,new york,212/702-5014,american
american place,2 park ave. at 32nd st.,new york,212/684-2122,american
anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,italian
arizona,206 206 e. 60th st.,new york,212/838-0440,american
arturo's,106 w. houston st.  off thompson st.,new york,212/677-3820,italian
au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian
bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean
barbetta,321 w. 46th st.,new york,212/246-9171,italian
ben benson's,123 w. 52nd st.,new york,212/581-8888,american
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar
billy's,948 1st ave.  between 52nd and 53rd sts.,new york,212/753-1870,american
boca chica,13 1st ave.  near 1st st.,new york,212/473-0108,latin american
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian
bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,french
brothers bar-b-q,225 varick st. at clarkston st.,new york,212/727-2775,american
bruno,240 e. 58th st.,new york,212/688-4190,italian
bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american
c3,103 waverly pl.  near washington sq.,new york,212/254-1200,american
ct,111 e. 22nd st.  between park ave. s and lexington ave.,new york,212/995-8500,french
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar
cafe botanica,160 central park s,new york,212/484-5120,french
cafe la fortuna,69 w. 71st st.,new york,212/724-5846,coffee bar
cafe luxembourg,200 w. 70th st.,new york,212/873-7411,french
cafe pierre,2 e. 61st st.,new york,212/940-8185,french
cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,212/818-1222,french
cafe fes,246 w. 4th st. at charles st.,new york,212/924-7653,mediterranean
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,coffee bar
caffe dell'artista,46 greenwich ave.,new york,212/645-4431,coffee bar
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,212/473-2642,french
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar
caffe roma,385 broome st. at mulberry,new york,212/226-8413,coffee bar
caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,coffee bar
caffe bondi ristorante,7 w. 20th st.,new york,212/691-8136,italian
capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,french
captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood
casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,middle eastern
cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,new york,212/343-9012,asian
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,new york,212/505-0727,french
chiam,160 e. 48th st.,new york,212/371-2323,asian
china grill,60 w. 53rd st.,new york,212/333-7788,american
cite,120 w. 51st st.,new york,212/956-7100,french
coco pazzo,23 e. 74th st.,new york,212/794-0205,italian
columbus bakery,53rd sts.,new york,212/421-0334,coffee bar
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,coffee bar
cupcake cafe,522 9th ave. at 39th st.,new york,212/465-1530,coffee bar
da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian
dean & deluca,121 prince st.,new york,212/254-8776,coffee bar
diva,341 w. broadway  near grand st.,new york,212/941-9024,italian
dix et sept,181 w. 10th st.,new york,212/645-8023,french
docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood
duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american
el teddy's,219 w. broadway  between franklin and white sts.,new york,212/941-7070,mexican
emily's,1325 5th ave. at 111th st.,new york,212/996-1212,american
empire korea,6 e. 32nd st.,new york,212/725-1333,asian
ernie's,2150 broadway  between 75th and 76th sts.,new york,212/496-1588,american
evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,asian
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian
felix,340 w. broadway at grand st.,new york,212/431-0021,french
ferrier,29 e. 65th st.,new york,212/772-9000,french
fifty seven fifty seven,57 e. 57th st.,new york,212/758-5757,american
film center cafe,635 9th ave.  between 44th and 45th sts.,new york,212/ 262-2525,american
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,212/595-5330,italian
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american
first,87 1st ave.  between 5th and 6th sts.,new york,212/674-3823,american
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood
fleur de jour,348 e. 62nd st.,new york,212/355-2020,coffee bar
flowers,21 west 17th st.  between 5th and 6th aves.,new york,212/691-8888,american
follonico,6 w. 24th st.,new york,212/691-6359,italian
fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,american
french roast,458 6th ave. at 11th st.,new york,212/533-2233,french
french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar
frico bar,402 w. 43rd st.  off 9th ave.,new york,212/564-7272,italian
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,212/769-1144,asian
gabriela's,685 amsterdam ave. at 93rd st.,new york,212/961-0574,mexican
gallagher's,228 w. 52nd st.,new york,212/245-5336,american
gianni's,15 fulton st.,new york,212/608-7300,seafood
girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,212/752-3054,italian
global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american
golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian
halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,american
hard rock cafe,221 w. 57th st.,new york,212/489-6565,american
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,american
home,20 cornelia st.  between bleecker and w. 4th st.,new york,212/243-9579,american
hudson river club,4 world financial center,new york,212/786-1500,american
i trulli,122 e. 27th st.  between lexington and park aves.,new york,212/481-7372,italian
il cortile,125 mulberry st.  between canal and hester sts.,new york,212/226-6060,italian
il nido,251 e. 53rd st.,new york,212/753-8450,italian
inca grill,492 broome st.  near w. broadway,new york,212/966-3371,latin american
indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian
internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,212/ 614-0747,coffee bar
ipanema,13 w. 46th st.,new york,212/730-5848,latin american
jean lafitte,68 w. 58th st.,new york,212/751-2323,french
jewel of india,15 w. 44th st.,new york,212/869-5544,asian
jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,212/682-5678,asian
joe allen,326 w. 46th st.,new york,212/581-6464,american
judson grill,152 w. 52nd st.,new york,212/582-5252,american
l'absinthe,227 e. 67th st.,new york,212/794-4950,french
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern
l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french
l'udo,432 lafayette st.  near astor pl.,new york,212/388-0978,french
la reserve,4 w. 49th st.,new york,212/247-2993,french
lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,212/674-7014,italian
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,italian
layla,211 w. broadway at franklin st.,new york,212/431-0700,middle eastern
le chantilly,106 e. 57th st.,new york,212/751-2931,french
le colonial,149 e. 57th st.,new york,212/ 752-0808,asian
le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar
le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,french
le madri,168 w. 18th st.,new york,212/727-8022,italian
le marais,150 w. 46th st.,new york,212/869-0900,american
le perigord,405 e. 52nd st.,new york,212/755-6244,french
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american
les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french
lincoln tavern,51 w. 64th st.,new york,212/721-8271,american
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american
mad fish,2182 broadway  between 77th and 78th sts.,new york,212/787-0202,seafood
main street,446 columbus ave.  between 81st and 82nd sts.,new york,212/873-5025,american
mangia e bevi,800 9th ave. at 53rd st.,new york,212/956-3976,italian
manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,new york,212/888-6556,american
manila garden,325 e. 14th st.  between 1st and 2nd aves.,new york,212/777-6314,asian
marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,french
marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,212/229-9313,coffee bar
match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,american
matthew's,1030 3rd ave. at 61st st.,new york,212/838-4343,american
mavalli palace,46 e. 29th st.,new york,212/679-5535,asian
milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar
monkey bar,60 e. 54th st.,new york,212/838-2600,american
montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian
